Time [s],V [mV]
8.066666667,268.8172
8.083333333,263.9296
8.1,268.8172
8.116666667,263.9296
8.133333333,259.042
8.15,263.9296
8.166666667,293.2551
8.183333333,347.0186
8.2,415.4448
8.216666667,454.5455
8.233333333,439.8827
8.25,410.5572
8.266666667,410.5572
8.283333333,464.3206
8.3,527.8592
8.316666667,571.8475
8.333333333,601.173
8.35,620.7234
8.366666667,640.2737
8.383333333,654.9365
8.4,664.7116
8.416666667,679.3744
8.433333333,698.9247
8.45,733.1378
8.466666667,777.1261
8.483333333,830.8895
8.5,884.653
8.516666667,953.0792
8.533333333,1021.5054
8.55,1109.4819
8.566666667,1217.0088
8.583333333,1309.8729
8.6,1436.9501
8.616666667,1642.2287
8.633333333,1886.608
8.65,2126.0997
8.666666667,2316.7155
8.683333333,2394.9169
8.7,2355.8162
8.716666667,2243.4018
8.733333333,2101.6618
8.75,1989.2473
8.766666667,2013.6852
8.783333333,2482.8935
8.8,3191.5934
8.816666667,3734.1153
8.833333333,3861.1926
8.85,3587.4878
8.866666667,3040.0782
8.883333333,2399.8045
8.9,1798.6315
8.916666667,1295.2102
8.933333333,928.6413
8.95,713.5875
8.966666667,620.7234
8.983333333,596.2854
9,532.7468
9.016666667,415.4448
9.033333333,298.1427
9.05,200.391
9.066666667,136.8524
9.083333333,97.7517
9.1,171.0655
9.116666667,410.5572
9.133333333,718.4751
9.15,967.7419
9.166666667,1143.695
9.183333333,1300.0978
9.2,1397.8495
9.216666667,1402.737
9.233333333,1373.4115
9.25,1466.2757
9.266666667,1647.1163
9.283333333,1730.2053
9.3,1588.4653
9.316666667,1436.9501
9.333333333,1647.1163
9.35,2033.2356
9.366666667,2536.6569
9.383333333,3020.5279
9.4,3044.9658
9.416666667,2722.3851
9.433333333,2355.8162
9.45,2218.9638
9.466666667,2346.0411
9.483333333,2609.9707
9.5,2859.2375
9.516666667,3147.6051
9.533333333,3460.4106
9.55,3680.3519
9.566666667,3836.7546
9.583333333,3880.7429
9.6,3856.305
9.616666667,3768.3284
9.633333333,3768.3284
9.65,3792.7664
9.666666667,3802.5415
9.683333333,3856.305
9.7,3910.0684
9.716666667,4007.8201
9.733333333,3914.956
9.75,3773.216
9.766666667,3729.2278
9.783333333,3519.0616
9.8,3211.1437
9.816666667,2976.5396
9.833333333,2859.2375
9.85,2697.9472
9.866666667,2497.5562
9.883333333,2346.0411
9.9,2174.9756
9.916666667,1989.2473
9.933333333,1749.7556
9.95,1427.175
9.966666667,1055.7185
9.983333333,698.9247
10,420.3324
10.01666667,229.7165
10.03333333,107.5269
10.05,73.3138
10.06666667,68.4262
10.08333333,63.5386
10.1,68.4262
10.11666667,68.4262
10.13333333,73.3138
10.15,68.4262
10.16666667,68.4262
10.18333333,97.7517
10.2,136.8524
10.21666667,161.2903
10.23333333,166.1779
10.25,151.5152
10.26666667,127.0772
10.28333333,107.5269
10.3,97.7517
10.31666667,87.9765
10.33333333,78.2014
10.35,78.2014
10.36666667,73.3138
10.38333333,73.3138
10.4,73.3138
10.41666667,73.3138
10.43333333,78.2014
10.45,102.6393
10.46666667,156.4027
10.48333333,239.4917
10.5,303.0303
10.51666667,347.0186
10.53333333,395.8944
10.55,439.8827
10.56666667,488.7586
10.58333333,532.7468
10.6,557.1848
10.61666667,557.1848
10.63333333,601.173
10.65,689.1496
10.66666667,801.564
10.68333333,923.7537
10.7,1041.0557
10.71666667,1133.9198
10.73333333,1192.5709
10.75,1143.695
10.76666667,1016.6178
10.78333333,938.4164
10.8,938.4164
10.81666667,948.1916
10.83333333,953.0792
10.85,987.2923
10.86666667,1031.2805
10.88333333,1089.9316
10.9,1158.3578
10.91666667,1221.8964
10.93333333,1290.3226
10.95,1392.9619
10.96666667,1505.3763
10.98333333,1598.2405
11,1652.0039
11.01666667,1691.1046
11.03333333,1739.9804
11.05,1744.868
11.06666667,1695.9922
11.08333333,1647.1163
11.1,1578.6901
11.11666667,1417.3998
11.13333333,1182.7957
11.15,874.8778
11.16666667,586.5103
11.18333333,351.9062
11.2,195.5034
11.21666667,97.7517
11.23333333,68.4262
11.25,68.4262
11.26666667,68.4262
11.28333333,68.4262
11.3,68.4262
11.31666667,83.089
11.33333333,102.6393
11.35,136.8524
11.36666667,166.1779
11.38333333,195.5034
11.4,239.4917
11.41666667,278.5924
11.43333333,327.4682
11.45,351.9062
11.46666667,366.5689
11.48333333,405.6696
11.5,420.3324
11.51666667,439.8827
11.53333333,444.7703
11.55,483.871
11.56666667,503.4213
11.58333333,503.4213
11.6,503.4213
11.61666667,488.7586
11.63333333,493.6461
11.65,522.9717
11.66666667,552.2972
11.68333333,596.2854
11.7,625.6109
11.71666667,601.173
11.73333333,522.9717
11.75,439.8827
11.76666667,391.0068
11.78333333,366.5689
11.8,371.4565
11.81666667,410.5572
11.83333333,469.2082
11.85,513.1965
11.86666667,557.1848
11.88333333,703.8123
11.9,957.9668
11.91666667,1197.4585
11.93333333,1363.6364
11.95,1436.9501
11.96666667,1554.2522
11.98333333,1652.0039
12,1744.868
12.01666667,1852.3949
12.03333333,2008.7977
12.05,2067.4487
12.06666667,1994.1349
12.08333333,1852.3949
12.1,1700.8798
12.11666667,1617.7908
12.13333333,1593.3529
12.15,1578.6901
12.16666667,1495.6012
12.18333333,1334.3109
12.2,1153.4702
12.21666667,1031.2805
12.23333333,904.2033
12.25,742.913
12.26666667,552.2972
12.28333333,381.2317
12.3,239.4917
12.31666667,146.6276
12.33333333,87.9765
12.35,68.4262
12.36666667,63.5386
12.38333333,68.4262
12.4,68.4262
12.41666667,68.4262
12.43333333,68.4262
12.45,63.5386
12.46666667,68.4262
12.48333333,68.4262
12.5,68.4262
12.51666667,73.3138
12.53333333,73.3138
12.55,73.3138
12.56666667,78.2014
12.58333333,78.2014
12.6,78.2014
12.61666667,78.2014
12.63333333,78.2014
12.65,83.089
12.66666667,78.2014
12.68333333,107.5269
12.7,190.6158
12.71666667,268.8172
12.73333333,351.9062
12.75,425.2199
12.76666667,493.6461
12.78333333,566.9599
12.8,635.3861
12.81666667,698.9247
12.83333333,796.6764
12.85,904.2033
12.86666667,987.2923
12.88333333,1075.2688
12.9,1153.4702
12.91666667,1217.0088
12.93333333,1275.6598
12.95,1329.4233
12.96666667,1383.1867
12.98333333,1427.175
13,1471.1632
13.01666667,1485.826
13.03333333,1432.0626
13.05,1378.2991
13.06666667,1446.7253
13.08333333,1529.8143
13.1,1564.0274
13.11666667,1534.7019
13.13333333,1480.9384
13.15,1427.175
13.16666667,1427.175
13.18333333,1510.2639
13.2,1647.1163
13.21666667,1754.6432
13.23333333,1827.957
13.25,1886.608
13.26666667,1979.4721
13.28333333,2121.2121
13.3,2248.2893
13.31666667,2258.0645
13.33333333,2086.999
13.35,1705.7674
13.36666667,1270.7722
13.38333333,850.4399
13.4,503.4213
13.41666667,268.8172
13.43333333,127.0772
13.45,68.4262
13.46666667,68.4262
13.48333333,68.4262
13.5,68.4262
13.51666667,63.5386
13.53333333,68.4262
13.55,83.089
13.56666667,92.8641
13.58333333,127.0772
13.6,141.74
13.61666667,146.6276
13.63333333,146.6276
13.65,146.6276
13.66666667,146.6276
13.68333333,151.5152
13.7,151.5152
13.71666667,146.6276
13.73333333,146.6276
13.75,151.5152
13.76666667,161.2903
13.78333333,175.9531
13.8,190.6158
13.81666667,210.1662
13.83333333,224.8289
13.85,303.0303
13.86666667,420.3324
13.88333333,493.6461
13.9,522.9717
13.91666667,527.8592
13.93333333,542.522
13.95,566.9599
13.96666667,615.8358
13.98333333,713.5875
14,850.4399
14.01666667,918.8661
14.03333333,943.304
14.05,962.8543
14.06666667,977.5171
14.08333333,987.2923
14.1,1011.7302
14.11666667,1036.1681
14.13333333,1060.6061
14.15,1104.5943
14.16666667,1153.4702
14.18333333,1231.6716
14.2,1363.6364
14.21666667,1456.5005
14.23333333,1402.737
14.25,1236.5591
14.26666667,1050.8309
14.28333333,967.7419
14.3,1031.2805
14.31666667,1177.9081
14.33333333,1348.9736
14.35,1500.4888
14.36666667,1622.6784
14.38333333,1705.7674
14.4,1759.5308
14.41666667,1832.8446
14.43333333,1862.1701
