Time [s],V [mV],,,
7.6,146.6276,,,
7.616666667,273.7048,,,
7.633333333,478.9834,,,
7.65,723.3627,,,
7.666666667,957.9668,,,
7.683333333,1163.2454,,,
7.7,1368.5239,,,
7.716666667,1612.9032,,,
7.733333333,1852.3949,,,
7.75,2091.8866,,,
7.766666667,2341.1535,,,
7.783333333,2575.7576,,,
7.8,2761.4858,,,
7.816666667,2917.8886,,,
7.833333333,3088.9541,,,
7.85,3245.3568,,,
7.866666667,3435.9726,,,
7.883333333,3626.5885,,,
7.9,3802.5415,,,
7.916666667,3944.2815,,,
7.933333333,4061.5836,,,
7.95,4188.6608,,,
7.966666667,4330.4008,,,
7.983333333,4452.5904,,,
8,4584.5552,,,
8.016666667,4716.52,,,
8.033333333,4838.7097,,,
8.05,5000,,,
8.066666667,5000,,,
8.083333333,5000,,,
8.1,5000,,,
8.116666667,5000,,,
8.133333333,4423.2649,,,
8.15,3123.1672,,,
8.166666667,2033.2356,,,
8.183333333,1339.1984,,,
8.2,889.5406,,,
8.216666667,606.0606,,,
8.233333333,420.3324,,,
8.25,303.0303,,,
8.266666667,229.7165,,,
8.283333333,180.8407,,,
8.3,146.6276,,,
8.316666667,127.0772,,,
8.333333333,112.4145,,,
8.35,107.5269,,,
8.366666667,97.7517,,,
8.383333333,97.7517,,,
8.4,102.6393,,,
8.416666667,97.7517,,,
8.433333333,97.7517,,,
8.45,97.7517,,,
8.466666667,97.7517,,,
8.483333333,92.8641,,,
8.5,97.7517,,,
8.516666667,97.7517,,,
8.533333333,97.7517,,,
8.55,97.7517,,,
8.566666667,97.7517,,,
8.583333333,97.7517,,,
8.6,97.7517,,,
8.616666667,102.6393,,,
8.633333333,102.6393,,,
8.65,102.6393,,,
8.666666667,102.6393,,,
8.683333333,131.9648,,,
8.7,229.7165,,,
8.716666667,395.8944,,,
8.733333333,571.8475,,,
8.75,747.8006,,,
8.766666667,923.7537,,,
8.783333333,1104.5943,,,
8.8,1275.6598,,,
8.816666667,1446.7253,,,
8.833333333,1608.0156,,,
8.85,1749.7556,,,
8.866666667,1862.1701,,,
8.883333333,1974.5846,,,
8.9,2096.7742,,,
8.916666667,2214.0762,,,
8.933333333,2350.9286,,,
8.95,2492.6686,,,
8.966666667,2644.1838,,,
8.983333333,2795.6989,,,
9,2961.8768,,,
9.016666667,3118.2796,,,
9.033333333,3255.132,,,
9.05,3416.4223,,,
9.066666667,3553.2747,,,
9.083333333,3695.0147,,,
9.1,3861.1926,,,
9.116666667,4046.9208,,,
9.133333333,4237.5367,,,
9.15,4213.0987,,,
9.166666667,3641.2512,,,
9.183333333,2497.5562,,,
9.2,1632.4536,,,
9.216666667,1080.1564,,,
9.233333333,723.3627,,,
9.25,493.6461,,,
9.266666667,351.9062,,,
9.283333333,254.1544,,,
9.3,195.5034,,,
9.316666667,156.4027,,,
9.333333333,131.9648,,,
